,tags
1059,"{'crossing': 'marked', 'highway': 'crossing'}"
1065,"{'bus': 'yes', 'name': 'Турбаза', 'name:en': 'Turbaza', 'name:ru': 'Турбаза', 'name:uk': 'Турбаза', 'public_transport': 'stop_position'}"
1066,"{'bus': 'yes', 'name': 'Турбаза', 'name:en': 'Turbaza', 'name:ru': 'Турбаза', 'name:uk': 'Турбаза', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Турбаза, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1071,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
1078,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
1079,"{'direction': 'forward', 'highway': 'give_way'}"
1129,"{'crossing': 'no', 'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'forward'}"
1130,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
1131,"{'crossing': 'no', 'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'backward'}"
1132,"{'bus': 'yes', 'name': ""пл. Б. Дерев'янка"", 'name:ru': 'площадь Бориса Деревянко', 'name:uk': ""пл. Б. Дерев'янка"", 'public_transport': 'stop_position', 'ref_name': ""пл. Б. Дерев'янка, Одеса""}"
1143,"{'bus': 'yes', 'name': 'Вул. Малиновського', 'name:ru': 'улица Малиновского', 'name:uk': 'Вул. Малиновського', 'public_transport': 'stop_position', 'ref_name': 'Вул. Малиновського, Одеса'}"
1144,{'highway': 'traffic_signals'}
1145,"{'crossing': 'marked', 'highway': 'crossing'}"
1153,"{'crossing': 'marked', 'highway': 'crossing'}"
1191,"{'bus': 'yes', 'name': 'Газовий провулок', 'name:ru': 'Газовый переулок', 'name:uk': 'Газовий провулок', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Газовий провулок, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1192,"{'crossing': 'marked', 'highway': 'crossing'}"
1194,"{'bus': 'yes', 'name': 'Газовий провулок', 'name:ru': 'Газовый переулок', 'name:uk': 'Газовий провулок', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Газовий провулок, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1197,{'railway': 'tram_level_crossing'}
1198,{'railway': 'tram_level_crossing'}
1219,{'highway': 'traffic_signals'}
1238,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
1239,"{'bus': 'yes', 'name': 'Вул. Ольгіївська', 'name:ru': 'Ольгиевская улица', 'name:uk': 'Вул. Ольгіївська', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Вул. Ольгіївська, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1244,"{'bus': 'yes', 'name': 'Вул. Князівська', 'name:ru': 'Княжеская улица', 'name:uk': 'Вул. Князівська', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Вул. Князівська, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatramvaynihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1247,{'highway': 'motorway_junction'}
1251,{'highway': 'motorway_junction'}
1268,{'highway': 'motorway_junction'}
1299,{'highway': 'motorway_junction'}
1330,{'highway': 'motorway_junction'}
1408,{'highway': 'motorway_junction'}
1432,"{'crossing': 'traffic_signals', 'highway': 'crossing', 'traffic_signals:sound': 'no'}"
1435,{'highway': 'traffic_signals'}
1436,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
1437,{'highway': 'traffic_signals'}
1438,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
1439,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
1440,"{'bus': 'yes', 'description': 'Зупинка маршрутного таксі № 133', 'name': 'Олександрівський проспект', 'name:ru': 'Александровский проспект', 'name:uk': 'Олександрівський проспект', 'public_transport': 'stop_position', 'ref_name': 'Олександрівський проспект, Одеса'}"
1443,"{'bus': 'yes', 'description': 'Зупинка маршрутного таксі № 9', 'name': 'Олександрівський проспект', 'name:ru': 'Александровский проспект', 'name:uk': 'Олександрівський проспект', 'public_transport': 'stop_position', 'ref_name': 'Олександрівський проспект, Одеса'}"
1445,"{'button_operated': 'no', 'crossing': 'traffic_signals', 'highway': 'crossing', 'traffic_signals:sound': 'no', 'traffic_signals:vibration': 'yes'}"
1446,{'highway': 'traffic_signals'}
1447,"{'button_operated': 'no', 'crossing': 'traffic_signals', 'highway': 'crossing', 'traffic_signals:sound': 'no', 'traffic_signals:vibration': 'yes'}"
1448,{'highway': 'traffic_signals'}
1451,"{'crossing': 'traffic_signals', 'crossing:island': 'no', 'highway': 'crossing', 'traffic_signals:sound': 'no'}"
1453,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
1462,{'highway': 'traffic_signals'}
1464,"{'bus': 'yes', 'name': 'Пр-т Гагаріна', 'name:ru': 'пр-т Гагарина', 'name:uk': 'Пр-т Гагаріна', 'public_transport': 'stop_position', 'ref_name': 'Пр-т Гагаріна, Одеса'}"
1471,{'railway': 'tram_level_crossing'}
1472,{'railway': 'tram_level_crossing'}
1479,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
1497,{'highway': 'crossing'}
1521,{'highway': 'traffic_signals'}
1527,{'highway': 'traffic_signals'}
1528,{'highway': 'traffic_signals'}
1538,"{'crossing': 'traffic_signals', 'crossing:island': 'no', 'highway': 'crossing'}"
1539,{'highway': 'traffic_signals'}
1540,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
1546,{'barrier': 'lift_gate'}
1554,{'railway': 'tram_level_crossing'}
1568,{'highway': 'crossing'}
1572,"{'bus': 'yes', 'name': 'Привокзальна пл.', 'name:en': ""Pryvokzal'na ploshya"", 'name:ru': 'Привокзальная пл.', 'name:uk': 'Привокзальна пл.', 'public_transport': 'stop_position'}"
1587,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Вулиця Велика Арнаутська', 'name:ru': 'Большая Арнаутская улица', 'name:uk': 'Вулиця Велика Арнаутська', 'public_transport': 'stop_position', 'tactile_paving': 'no'}"
1588,{'highway': 'traffic_signals'}
1589,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Вулиця Велика Арнаутська', 'name:ru': 'Большая Арнаутская улица', 'name:uk': 'Вулиця Велика Арнаутська', 'public_transport': 'stop_position', 'tactile_paving': 'no'}"
1590,{'highway': 'crossing'}
1591,{'highway': 'crossing'}
1594,{'highway': 'crossing'}
1596,{'highway': 'crossing'}
1598,{'highway': 'crossing'}
1652,"{'name': 'Вул. Олеші', 'name:ru': 'улица Олеши', 'name:uk': 'Вул. Олеші', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Вул. Олеші, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1654,"{'name': 'Вул. Олеші', 'name:ru': 'улица Олеши', 'name:uk': 'Вул. Олеші', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Вул. Олеші, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1665,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
1732,{'railway': 'tram_level_crossing'}
1764,{'highway': 'crossing'}
1777,"{'crossing': 'marked', 'crossing:island': 'no', 'highway': 'crossing'}"
1781,{'highway': 'traffic_signals'}
1783,"{'bus': 'yes', 'name': 'Куликове поле', 'name:ru': 'Куликово поле', 'name:uk': 'Куликове поле', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Куликове поле, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1788,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
1792,"{'name': 'Ст. Парк Шевченка', 'name:en': 'Station Park Shevchenka', 'name:ru': 'Ст. Парк Шевченко', 'name:uk': 'Ст. Парк Шевченка', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Ст. Парк Шевченка, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
1794,"{'crossing': 'marked', 'highway': 'crossing'}"
1797,{'barrier': 'swing_gate'}
1800,{'barrier': 'lift_gate'}
1804,"{'crossing': 'uncontrolled', 'crossing:island': 'no', 'highway': 'crossing'}"
1818,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
1822,"{'access': 'no', 'barrier': 'block'}"
1824,"{'barrier': 'lift_gate', 'foot': 'yes', 'motor_vehicle': 'private'}"
1850,{'railway': 'tram_level_crossing'}
1867,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
1872,"{'crossing': 'traffic_signals', 'highway': 'crossing', 'traffic_signals:sound': 'yes'}"
1876,"{'crossing': 'traffic_signals', 'highway': 'crossing'}"
1886,"{'crossing': 'uncontrolled', 'highway': 'crossing'}"
1898,{'highway': 'traffic_signals'}
1903,"{'bus': 'yes', 'name': 'Вул. Маріїнська', 'name:ru': 'Мариинская уилца', 'name:uk': 'Вул. Маріїнська', 'operator': 'КП «Одесміськелектротранс»', 'public_transport': 'stop_position', 'ref_name': 'Вул. Маріїнська, Одеса', 'source': 'http://www.oget.od.ua/ru/catalog/informaciyadlyapassazhirov/nazvazupinoknamarshrutahmstaodesa/naymenuvannyazupinoknatroleybusnihmarshrutahmstaodesi/', 'trolleybus': 'yes'}"
